permno,date,ticker,mean_recommendation,recommendation_change,num_recommendations
86868,2022-04-30,GS,3.0,0.0,1
86868,2022-06-30,GS,1.0,-2.0,1
86868,2022-07-31,GS,2.0,1.0,1
86868,2022-09-30,GS,3.3333333333333335,1.3333333333333335,3
86868,2022-10-31,GS,3.0,-0.3333333333333335,2
86868,2022-11-30,GS,3.0,0.0,1
86868,2023-01-31,GS,3.0,0.0,3
86868,2023-03-31,GS,1.0,-2.0,1
86868,2023-07-31,GS,2.6666666666666665,1.6666666666666665,3
86868,2023-08-31,GS,3.0,0.3333333333333335,2
86868,2023-09-30,GS,2.0,-1.0,1
86868,2024-01-31,GS,2.5,0.5,2
86868,2024-03-31,GS,2.3333333333333335,-0.16666666666666652,3
86868,2024-04-30,GS,1.0,-1.3333333333333335,1
86868,2024-07-31,GS,3.0,2.0,1
86868,2024-09-30,GS,1.0,-2.0,1
86868,2024-11-30,GS,3.0,2.0,1
86868,2024-12-31,GS,2.0,-1.0,1
86964,2019-12-31,FFIV,4.0,,1
86964,2020-02-29,FFIV,2.0,-2.0,1
86964,2020-04-30,FFIV,3.0,1.0,2
86964,2020-07-31,FFIV,1.3333333333333333,-1.6666666666666667,3
86964,2020-10-31,FFIV,2.0,0.6666666666666667,1
86964,2020-11-30,FFIV,2.5,0.5,2
86964,2020-12-31,FFIV,2.0,-0.5,1
86964,2021-04-30,FFIV,3.0,1.0,1
86964,2021-05-31,FFIV,2.0,-1.0,1
86964,2021-06-30,FFIV,3.0,1.0,2
86964,2021-07-31,FFIV,1.0,-2.0,1
86964,2021-10-31,FFIV,3.0,2.0,1
86964,2022-01-31,FFIV,2.6666666666666665,-0.3333333333333335,3
86964,2022-02-28,FFIV,2.0,-0.6666666666666665,1
86964,2022-04-30,FFIV,3.0,1.0,1
86964,2022-07-31,FFIV,3.0,0.0,4
86964,2022-09-30,FFIV,2.0,-1.0,1
86964,2022-10-31,FFIV,3.0,1.0,2
86964,2022-11-30,FFIV,2.0,-1.0,1
86964,2023-01-31,FFIV,3.0,1.0,2
86964,2023-03-31,FFIV,3.0,0.0,1
86964,2023-04-30,FFIV,3.0,0.0,1
86964,2023-05-31,FFIV,1.0,-2.0,1
86964,2023-10-31,FFIV,4.0,3.0,1
86964,2023-12-31,FFIV,3.0,-1.0,1
86964,2024-05-31,FFIV,3.0,0.0,1
86964,2024-07-31,FFIV,3.0,0.0,1
86964,2024-08-31,FFIV,2.0,-1.0,1
86964,2024-10-31,FFIV,3.0,1.0,1
86979,2019-12-31,JNPR,3.0,,2
86979,2020-04-30,JNPR,2.5,-0.5,4
86979,2020-07-31,JNPR,3.0,0.5,1
86979,2020-09-30,JNPR,3.0,0.0,1
86979,2020-10-31,JNPR,2.5,-0.5,2
86979,2020-12-31,JNPR,3.5,1.0,2
86979,2021-01-31,JNPR,2.0,-1.5,1
86979,2021-04-30,JNPR,3.0,1.0,1
86979,2021-07-31,JNPR,1.5,-1.5,2
86979,2021-10-31,JNPR,4.0,2.5,1
86979,2021-12-31,JNPR,1.0,-3.0,1
86979,2022-01-31,JNPR,2.0,1.0,3
86979,2022-02-28,JNPR,2.0,0.0,1
86979,2022-04-30,JNPR,4.0,2.0,1
86979,2022-07-31,JNPR,3.25,-0.75,4
86979,2022-09-30,JNPR,3.0,-0.25,1
86979,2022-10-31,JNPR,2.3333333333333335,-0.6666666666666665,3
86979,2022-12-31,JNPR,3.0,0.6666666666666665,1
86979,2023-03-31,JNPR,2.0,-1.0,2
