permno,date,ticker,weighted_mean_recommendation,recommendation_change,unweighted_mean_recommendation,unweighted_change,num_recommendations,effective_recommendation_count
85058,2022-03-31,BXP,0.0,1.1494823720875535,0.0,1.3333333333333333,1,0.0625
28222,2022-03-31,APD,-1.1144957168527112,-1.1144957168527112,-1.0,-1.0,2,1.1144957168527112
18312,2022-03-31,MRNA,-1.1040895136738125,-1.1040895136738125,-2.0,-2.0,1,0.5520447568369062
60442,2022-03-31,PNC,0.7429971445684742,1.0815195229869272,1.0,2.0,1,0.7429971445684742
79103,2022-03-31,ORLY,0.0,1.011076089233856,0.0,1.0,1,0.25
24109,2022-03-31,AEP,0.0,1.0,0.0,1.0,1,0.18574928614211855
92203,2022-03-31,LULU,0.5,1.0,2.0,3.0,1,0.25
92203,2022-04-30,LULU,-1.9771457601733649,-2.477145760173365,-1.5,-3.5,2,1.156810404165727
16600,2022-04-30,HSY,0.820335356007638,1.9760590202715447,1.0,2.5,1,0.820335356007638
65875,2022-04-30,BEL,1.8114473285278134,1.887635681915593,1.0,2.0,2,1.5152304913661445
13447,2022-04-30,NOW,-0.820335356007638,-1.820335356007638,-1.0,-2.0,1,0.820335356007638
89866,2022-04-30,LKQ,-1.8114473285278134,-1.8114473285278134,-2.0,-2.0,1,0.9057236642639067
42906,2022-04-30,HBAN,-1.6291813322082944,-1.6916813322082944,-1.0,-2.0,3,1.132889963139045
90319,2022-04-30,GOOGL,-1.8090300180592354,-1.6840300180592354,-1.0,0.0,4,1.8090300180592354
12981,2022-04-30,FBHS,-1.659070621752254,-1.659070621752254,-0.25,-0.25,4,2.784159391311011
52230,2022-04-30,RHI,-1.4859942891369484,-1.4859942891369484,-2.0,-2.0,1,0.7429971445684742
77661,2022-04-30,DHI,-1.4859942891369484,-1.4859942891369484,-1.0,-1.0,2,1.4159472408846523
22293,2022-04-30,GLW,0.0,1.4159472408846523,0.0,0.6666666666666666,1,0.16823752407904452
90880,2022-04-30,AMP,0.0928746430710593,1.3880766506633142,1.0,2.5,1,0.0928746430710593
