symbol,company,year_month,signal,weighted_sentiment_score,avg_sentiment_score,article_count,positive_count,negative_count,neutral_count,effective_article_count
AMP,Ameriprise Financial,2018-03,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2018-04,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2018-05,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2018-06,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2018-07,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2018-08,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2018-09,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2018-10,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2018-11,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2018-12,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2019-01,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2019-02,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2019-03,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2019-04,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2019-05,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2019-06,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2019-07,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2019-08,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2019-09,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2019-10,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2019-11,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2019-12,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2020-01,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2020-02,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2020-03,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2020-04,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2020-05,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2020-06,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2020-07,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2020-08,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2020-09,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2020-10,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2020-11,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2020-12,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2021-01,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2021-02,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2021-03,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2021-04,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2021-05,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2021-06,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2021-07,hold,0.0,0.0,0,0,0,0,0.0
